x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood
16221,3416.3,0,93,7.095,2095.7,110.63,40.235
14234,10603,0,94,8.6859,1926.9,162.05,84.996
15645,18224,0,94,5.6014,3321.1,173.61,96.151
16263,3441.7,0,94,5.5672,2982.5,127.02,76.289
14215,10589,0,95,8.3395,1994.7,157.11,90.708
15644,18232,0,95,8.8049,1835.8,149.58,76.291
16235,3417.3,0,95,5.8922,2719.1,120.58,67.005
14219,10603,0,96,9.0221,1882.8,169.75,81.726
16217,3428.7,0,96,5.6803,2884.9,126.16,88.627
14199,10618,0,97,9.2297,1824.7,166.11,101.03
15660,18231,0,97,6.7743,2516.6,153.12,112.23
16233,3431,0,97,5.773,2795.6,121.99,90.631
14211,10616,0,98,8.4027,2022.5,164.96,107.05
15663,18223,0,98,5.9049,3001.9,157.74,78.415
16237,3423,0,98,5.0562,3308.4,122.63,60.603
15655,18231,0,99,6.474,2739.2,165.48,139.22
16247,3428.3,0,99,5.1164,3191.7,115.35,68.098
14204,10604,0,100,8.0652,2100.3,161.26,88.965
15653,18220,0,100,6.4455,2674.1,153.49,93.361
16236,3425.7,0,100,5.1911,3095.5,111.95,81.725
14206,10619,0,101,9.2728,1787.9,160.63,88.644
15653,18227,0,101,6.4301,2726.3,160.18,97.922
16240,3427.4,0,101,5.247,3132.7,119.99,74.436
14245,10602,0,102,8.6018,1910.4,154.68,78.257
15653,18227,0,102,8.2374,1937.3,141.38,86.757
16244,3419.8,0,102,4.978,3320.7,116.79,55.282
9963,17161,0,103,6.9168,2342.7,136.74,46.845
14229,10601,0,103,9.1004,1817.8,160.17,89.225
16260,3421.1,0,103,6.1709,2613.2,125.47,40.691
9961.1,17160,0,104,6.868,2332,132.33,64.076
16267,3422.7,0,104,6.6416,2325.5,115.85,67.35
9958.7,17160,0,105,5.4474,3081.6,131.33,50.694
9961,17157,0,106,6.7073,2421.5,135.47,55.031
16256,3447.4,0,109,6.687,2179,100.97,107.83
16269,3431.9,0,110,6.3618,2337.1,102.18,88.96
16254,3440.8,0,111,7.0443,2033.5,99.434,74.478
16248,3437.3,0,112,6.4649,2233.9,96.881,51.121
16240,3454.2,0,113,6.4597,2250,99.05,64.642
16248,3444.9,0,115,4.8872,3293.1,107.29,73.6
16930,19343,0,115,4.2266,4182.3,123.54,102.52
16253,3435,0,116,4.4578,3696.2,105.8,85.415
16934,19321,0,116,2.8322,7439.3,141.56,141.35
16252,3437.7,0,117,3.6439,4863.7,108.52,53.521
16918,19289,0,117,2.9923,7005.6,141.58,122.87
16247,3441.9,0,118,3.9522,4249.5,100.54,47.462
16963,19356,0,118,3.3372,5932.8,139.61,71.659
16263,3456.1,0,119,5.899,2614.7,108.31,86.124
16978,19326,0,119,4.3403,4106.6,129.11,123.9
16261,3448.7,0,120,5.0398,3180.6,107.74,88.774
16973,19324,0,120,3.7634,4897.6,126.02,110.48
16254,3442.8,0,121,4.4346,3869.8,118.61,54.243
16975,19312,0,121,6.7848,2316.2,117.36,61.43
16244,3446.9,0,122,4.4109,3797.8,110.9,90.563
14185,19469,0,123,7.0323,2248.3,129.18,39.243
16251,3434,0,123,5.5255,2769.9,101.86,56.347
18196,4922.8,0,123,6.0693,2665,122.54,186.8
16243,3448.3,0,124,5.2162,2997.9,104.35,57.783
15514,14922,0,125,2.8628,7515.6,154.55,188.66
16252,3447.2,0,125,5.3932,2893.8,105.81,66.915
15527,14925,0,126,2.7203,7945.1,148.35,163.81
16255,3445.8,0,126,6.2859,2394.5,106.09,83.327
15525,14928,0,127,3.2583,6291.3,153.13,110.61
16255,3440.8,0,127,5.5221,2758.9,100.45,81.436
15533,14947,0,128,7.0058,2343.1,141.43,67.122
16240,3438.3,0,128,4.4832,3617.9,102.45,78.102
15522,14947,0,129,6.8607,2357,134.55,97.454
16226,3443,0,129,4.9287,3149.7,98.391,38.133
15518,14932,0,130,6.651,2428.6,132.63,79.036
16229,3447.6,0,130,5.5001,2712.2,95.691,59.466
15536,14925,0,131,7.169,2212.8,132.09,72.804
16225,3440.5,0,131,5.2628,2898.1,98.536,54.225
16239,3427.5,0,132,6.5031,2225.4,97.92,51.445
13325,7360.3,0,134,6.7574,2300.3,119.79,75.999
15750,8856.8,0,135,3.7608,4705.9,113.06,58.834
15859,14420,0,135,6.5404,2420.5,124.07,47.682
11916,4901.1,0,136,5.4079,3013.1,116.28,110.38
15750,8859.8,0,136,3.7199,4724.9,109.47,73.211
11912,4891.2,0,137,4.2324,4308.4,132.09,116.65
15758,8864.9,0,137,2.8496,7034.2,122.89,93.921
11937,4886.4,0,138,6.4573,2338.9,108.31,107.16
15760,8862.6,0,138,6.0538,2518.6,108.35,47.475
15858,14420,0,138,5.6583,2800.9,114.02,65.029
11973,4898.2,0,139,5.5791,2779.2,106.85,92.009
13328,7365.2,0,139,6.3625,2450.3,118.01,90.31
15858,14425,0,139,5.6354,2819.3,114.81,46.369
11988,4898.6,0,140,6.7858,2151.7,102.99,112.43
15866,14420,0,140,6.1268,2564.2,117.23,38.784
11985,4923.3,0,142,4.5693,3768.2,121.69,99.102
11982,4939.2,0,143,3.9563,4594.3,128.52,125.15
11975,4948.2,0,144,3.5609,5363,135.24,153.27
11980,4942.9,0,145,4.4597,3900,125.27,138.09
11978,4941.4,0,146,3.733,5100.1,139.83,164.38
11974,4943.9,0,147,4.2637,4101.6,122.58,101.88
11978,4947.8,0,148,4.0297,4469.1,127.38,111.85
11960,4945.9,0,149,5.3235,3052.6,117.77,105.87
11967,4949.8,0,150,6.2819,2480.9,117.11,68.566
11964,4954.7,0,151,6.4358,2349.3,109.67,67.436
11962,4940.8,0,152,3.1008,6880.8,156.43,197.98
11970,4938.9,0,153,2.6369,9068.6,197.01,250.77
11973,4947.2,0,154,3.0831,6739.1,151.12,142.89
10741,14638,0,155,4.1934,4437,141.03,107.18
11979,4958.7,0,155,3.0504,6895.9,155.77,161.49
10749,14640,0,156,3.5907,5377.6,136.9,118.35
11970,4953.3,0,156,2.679,8365.9,164.22,178.72
10757,14634,0,157,5.4024,3109.1,126.31,132.02
11980,4951.7,0,157,2.8582,7452.5,150.71,178.64
10755,14635,0,158,3.2676,6145.5,140.24,149.85
11969,4950,0,158,2.6804,8390.7,165.97,194.01
10757,14639,0,159,4.1427,4358.5,128.5,108.95
11970,4946.7,0,159,2.6577,8626.2,174.59,256.43
10753,14628,0,160,6.452,2425.2,117.71,79.052
11972,4947.3,0,160,2.6891,8305.9,162.96,217.22
10753,14638,0,161,4.8792,3492.7,124.01,95.611
11970,4948.4,0,161,2.8041,7683.7,152.43,169.9
10754,14629,0,162,4.7038,3693.4,126.64,126.1
11967,4950.4,0,162,3.9956,4510.6,126.51,103.52
10734,14612,0,163,6.8483,2314.1,127.35,97.74
11959,4941,0,163,4.7039,3575.5,118.19,94.664
10727,14626,0,164,6.307,2462.7,115.3,71.629
11672,20989,0,164,5.3504,2997,113.4,62.156
11975,4952.5,0,164,5.1656,3096.4,110.83,75.509
11984,4947,0,165,5.8274,2655.4,109.95,79.099
11698,20994,0,166,4.6056,3616.9,111.68,56.021
11974,4959.9,0,166,7.3335,1933.8,99.984,70.841
11978,4942,0,167,6.882,2177.2,111.25,102.86
11965,4958.6,0,168,6.7455,2196.3,106.87,64.994
11685,15126,0,169,6.7466,2269.7,116.44,80.027
11970,4946.4,0,171,5.8874,2643.7,112.23,99.784
11981,4948.4,0,172,5.5793,2765.3,105.96,59.282
11681,15111,0,173,6.17,2564.4,120.73,52.487
11969,4955.6,0,173,5.7724,2703.2,111.7,87.372
11692,15121,0,174,6.7203,2353,126.02,97.386
11965,4930.1,0,174,4.3181,4131.4,127.38,93.518
11970,4925.7,0,175,2.7491,8300.6,173.07,219.27
11967,4925.7,0,176,2.6364,8743.3,170.03,213.79
11969,4928.7,0,177,2.7038,8454.3,169.99,245.62
11964,4933.8,0,178,2.7082,8563.7,176.84,191.45
11973,4931,0,179,2.5844,9475,200.49,282.31
11965,4934.8,0,180,2.858,7701.5,159.13,183.83
11976,4935,0,181,3.2531,6237,147.94,219.58
11960,4929.4,0,182,2.9233,7572.8,167.13,271.71
17694,2259.2,0,182,5.5235,2618.9,83.008,52.207
11955,4941.6,0,183,2.8457,7593.2,155.14,134.09
16241,3434.6,0,183,4.3388,3787.2,103.18,57.331
11955,4930.5,0,184,2.9459,7413.7,160.95,187.7
11956,4933.1,0,184,2.9323,7394.3,161.6,174.94
16231,3436.3,0,184,3.9526,4249.1,101.33,54.704
11954,4930.3,0,185,3.2068,6466.3,150.08,186.56
12577,12162,0,185,5.9958,2795.7,134.63,139.61
11964,4939.4,0,186,3.2423,6312,151.18,141.92
12584,12151,0,186,6.9317,2344.5,134.23,127.46
11978,4938.1,0,187,3.439,5700,135.35,168.57
11980,4935.5,0,188,3.3397,6036.1,143.67,151.16
12605,12190,0,188,6.1864,2643.8,131.09,106.38
11973,4933.7,0,189,3.1635,6568.8,149.23,141.31
11973,4936.6,0,189,3.2084,6436.4,153.97,149.22
12595,12224,0,189,7.74,2112.1,145.41,120.18
11977,4941.5,0,190,2.761,8007.9,162.49,180.51
12599,12218,0,190,6.8188,2469.6,148.23,110.66
11985,4938.8,0,191,3.476,5611.4,140.56,131.5
12591,12213,0,191,6.4868,2583.7,142.54,86.183
