"frame","x [nm]","y [nm]","intensity [photons]","loglikelihood" 
2368,18530,10944,1339.2,-174.51
2540,21233,9995.6,1624.8,-196.43
2542,21050,9400.5,2122,-202.99
2543,21259,9348.8,1855.8,-190.9
2552,21261,9306.8,2401.5,-242.54
2607,21223,9648.9,1637.4,-205.5
2608,21308,10447,2201.8,-216.5
2609,21708,10680,1513,-168.29
2610,21721,10109,1750.6,-183.03
2611,21382,10128,2214.9,-195.08
2611,21541,10727,1374.1,-186.93
2614,22186,10030,3833,-214.24
2696,21532,13199,3003.6,-160.74
2697,21525,13193,4157.1,-203.75
2698,21521,13199,2952,-204.86
2704,21535,13213,1699.4,-170.38
2705,21522,13207,1189.5,-187.8
2711,21528,13211,3129.3,-216.2
2712,21536,13198,3224.4,-160.79
2716,20335,14584,6005.1,-225.65
2716,21530,13205,1597,-161.32
2718,21531,13213,3714.4,-218.29
2719,21535,13206,1847.7,-195.89
2740,19602,10562,1989.8,-213.68
2741,19614,10600,1559.6,-187.59
2763,23580,9658.9,1207,-177.99
2800,18919,12684,2731.9,-217.54
2801,18930,12688,3389.3,-193.91
2801,18935,12687,3591.1,-197.84
2802,18862,12721,1576.9,-177.07
2818,19752,9732.8,1259.3,-171.07
2819,19757,9745.9,2596.5,-170.71
2820,19752,9753.1,3369.1,-175.65
2821,19751,9748.6,3131.4,-185.57
2822,19741,9744.2,3536,-191.76
2823,19741,9741.5,1654.7,-180.77
2824,19749,9738.2,2634.4,-175.01
2825,19751,9750.1,2283.6,-167.84
2826,19749,9755.5,2275,-184.52
2996,22917,8394.8,4731.9,-252.41
2997,22924,8393.7,6861.2,-310.99
2998,22921,8423.8,2368,-175.83
3061,20923,12830,2654.4,-203.52
3062,20936,12821,1816.2,-181.88
3063,20953,12825,1783.5,-173.91
3064,20934,12803,2320.3,-187.75
3129,22579,9944.8,1306.2,-172.23
3168,23009,10705,1930.4,-199.81
3170,23018,10714,1758.5,-172.06
3171,23000,10706,3137.6,-183.46
3172,23017,10704,3048,-189.79
3173,23006,10705,2303.1,-229.1
3174,23005,10704,3295.9,-188.71
3175,23001,10698,2214.3,-198.85
3176,23009,10708,2520.5,-197.99
3177,23006,10705,3195.1,-196.63
3178,22997,10709,2527.4,-195.03
3212,18703,15097,2650.2,-202.79
3228,20637,11573,1532,-187.99
3229,20634,11563,2640,-173.35
3230,20629,11558,2861,-161.14
3231,20640,11571,2729,-204.45
3232,20639,11561,2515.2,-160.69
3232,22153,14346,4092.4,-222.27
3233,20647,11556,2737.2,-180.23
3233,22152,14354,1980.4,-190.17
3234,20646,11556,1729.4,-174.64
3234,22146,14349,3335,-243.33
3235,20645,11576,2655.7,-198.42
3235,22149,14349,4168.7,-223.89
3236,20652,11565,3158.6,-153.39
3236,22148,14345,4121.3,-240.94
3311,19266,12342,6495.4,-193.2
3323,18156,8899.2,3277.2,-235.38
3324,18164,8922.5,2796.9,-229.64
3479,21866,12411,1788.4,-208.82
3481,21849,12441,1153.8,-192.64
3521,22927,13515,8254.6,-233.82
3522,22935,13529,6729.9,-231.22
3522,22888,13489,6596.4,-228.18
3523,22970,13539,5211.1,-242.64
3525,22930,13541,4067.6,-183.55
3527,22984,13603,5265.9,-191.23
3529,22263,10071,1650.3,-180.17
3533,22254,10085,4293.9,-182.93
3534,22258,10087,2913.4,-188.3
3545,19521,12222,1183.4,-178.01
3564,20386,15015,1064,-202.9
3565,20361,15004,1651.1,-179.83
3567,20361,14998,3812.1,-260.12
3568,20379,15012,6176.7,-378.16
3614,19691,8425.3,3080.1,-263.84
3616,19669,8410.2,2554.2,-233.59
3618,19677,8419.4,3055.3,-261.68
3619,19686,8415.5,4507.5,-305.28
3620,19664,8409.7,3434.9,-237.8
3621,19671,8412.5,2407.4,-214.75
3622,19663,8422.1,4213.9,-294.96
3623,19682,8413.1,3482.1,-265.64
3669,19934,14194,1135.7,-176.4
3670,19926,14175,3039.4,-234.57
3705,21275,13256,1452.4,-176.83
3706,21285,13274,1975.4,-195.84
3731,21259,13273,1675.2,-215.38
3732,21268,13263,2490.5,-179.91
3735,21285,13262,1477.8,-180.7
3836,22437,12636,1463.1,-168.14
3837,22446,12640,4155.8,-183.64
3838,22435,12650,3883.3,-189.48
3839,22447,12650,3606.6,-248.27
3840,22436,12650,4274.6,-171.5
3841,22448,12643,3958.6,-182.42
3842,22442,12655,4179.5,-211.99
3843,22441,12653,4070.8,-206.33
3844,22449,12648,1809.2,-219.35
3846,22448,12652,4050.3,-225.26
3847,22438,12649,3308.3,-185.37
3848,22447,12646,3236.6,-201.64
3849,22434,12650,2853,-193.02
3850,22449,12651,3487,-199.55
3851,22451,12643,3647.5,-188.98
3852,22440,12651,3138.4,-205.94
3853,22441,12642,1721.8,-163.46
3869,21984,9984,2033.6,-172.54
3873,22079,9972.3,2901.7,-184.77
3876,22054,9984,3228.5,-180.45
3877,21974,9994.4,1619.7,-186.88
3878,21921,9976.1,1631.6,-146.24
3880,22061,9976.5,4039,-218.25
3881,22107,10033,1494.6,-192
4092,19624,11368,2608.1,-201.34
4093,19623,11359,3279.4,-184.92
4094,24557,10296,1095.6,-176.69
4095,19631,11365,2246.5,-187.81
4096,19625,11366,3243.5,-226.05
4097,19627,11368,3579.5,-206.75
4098,19628,11363,1988.4,-204.02
4099,24563,10293,1047.7,-189.97
4100,19623,11365,1689.7,-169.48
4101,19625,11375,3119.9,-200.42
4107,20982,9521.2,1331.6,-145.19
4129,23818,9856.2,1015.5,-185.52
4167,21627,14229,1001.9,-191.19
4168,21599,14232,1033.2,-194.73
4169,21624,14237,1751.3,-165.7
4170,21632,14238,2124.8,-207.06
4171,21623,14235,1117,-213.5
4179,21208,14300,1346.9,-221.53
4180,21182,14301,1247.1,-182.93
4255,22802,13590,2548,-196.89
4256,22793,13593,1074.7,-191.52
4328,23137,9349.4,1512.4,-180.18
4421,21705,9874.3,1096.4,-172
4422,21709,9895.7,1296.8,-173.95
4423,21721,9886.8,2218.1,-186.99
4425,21699,9865.6,1457.7,-147.61
4494,18726,13274,2181.1,-224.58
4512,20050,8461.5,1480.4,-202.66
4513,20052,8439.9,3653,-278.16
4514,20046,8448.5,3005.5,-167.36
4516,20058,8446.8,2397.5,-242.01
4517,20032,8462.2,1501.5,-198.91
4562,19888,14162,4244.8,-238.07
4563,19926,14130,5772.2,-240.74
4563,19899,14145,4538.7,-246.42
4564,19931,14162,5815.7,-155.73
4564,19926,14177,5110.4,-178.57
4565,19978,14219,4139.2,-171.58
4565,19973,14216,4219.7,-178.25
4572,23083,9340.2,1861.2,-196.3
4573,23123,9360,2215.6,-221.94
4574,23045,9322.2,2071.7,-197.22
4607,21865,10301,2002.2,-180.72
4608,21877,10308,2000.6,-174.33
4609,21866,10320,1118.2,-189.18
4658,22705,9271.8,3482.7,-185.33
4659,22706,9263.1,3190.2,-186.04
4660,22688,9273.5,1968.1,-164.36
4661,22715,9263.5,1034.9,-173.23
4663,22707,9271.4,2716.5,-181.7
4664,22710,9258.9,1936.8,-161.29
4665,22699,9254,1772.4,-171.85
4666,22688,9237.9,1021.1,-191.08
4709,22265,12674,1890.9,-193.4
4710,22247,12671,3631.4,-220.9
4711,22245,12667,4289.5,-217.28
4712,22245,12671,3982.3,-207.54
4713,22242,12671,4202.1,-255.81
4714,22248,12679,3176.8,-183.33
4715,22246,12674,2657.4,-189.4
4716,22245,12672,3445.3,-228.18
4717,22238,12663,3569.7,-185.65
4885,22622,11963,4329.7,-187.36
4908,22615,11961,2738.2,-195.73
4911,22610,11967,2338.4,-206.58
4914,22623,11955,1011.8,-175.46
4936,22610,11962,3109.1,-213.79
4939,21776,12570,3455,-248.61
4940,21777,12553,3347.2,-206.29
4941,21783,12557,3482.8,-202.15
4950,22607,11964,1082.6,-216.75
4951,22610,11964,2400.4,-192.5
4954,22623,11948,1768.2,-205.92
4961,22611,11955,2815.3,-174.22
4962,22626,11957,1533.8,-209.59
4975,22613,11964,1463,-191.71
4984,19949,14137,3904.3,-219.96
4985,19957,14132,3499.9,-207.13
4986,19959,14138,3387,-253.02
4995,22628,11984,1120.1,-179.07
4996,22618,11964,3192.5,-189.65
5011,20986,11948,2798.6,-169.5
5012,20976,11953,2544.8,-195.11
5013,20997,11939,2213.1,-196.04
5014,20980,11942,2013.6,-187
5019,22619,11958,1035.5,-160.67
5043,19599,11621,1753.4,-204.45
5044,19619,11633,3363.9,-221.61
5046,19632,11616,4022.9,-221.5
5046,22605,11971,1566.3,-197.87
5047,19612,11612,3775.7,-213.59
5048,19612,11644,1565.8,-181.94
5049,19628,11630,3412.6,-207.04
5050,19636,11635,3754.9,-245.53
5051,19627,11602,4042.9,-185.22
5052,19613,11623,3535.7,-227.07
5053,19621,11624,3572.1,-207.51
5054,19631,11627,3589.6,-201.91
5055,19605,11634,3410.3,-238.14
5056,19624,11632,3992.8,-210.75
5057,19611,11598,3068.4,-221.4
5072,22614,11968,1455.6,-182.53
5079,22617,11966,1627.6,-174.07
5144,22622,11965,1448.8,-169.04
5159,22601,11970,2755.9,-216.76
5160,22617,11957,2254.3,-189.69
5188,22606,11975,1266.7,-201.35
5189,22618,11961,2445.3,-205.14
5190,22610,11965,3283.2,-188.54
5193,22375,10787,1944.7,-181.44
5194,22366,10794,3235.9,-181.2
5195,22368,10790,2693.6,-169.53
5196,22387,10788,1790.4,-157.26
5198,22362,10795,1616.4,-187.51
5202,20108,12913,1051.9,-169.21
5213,22594,11977,1178.7,-165.51
5216,22604,11976,1516,-170.54
5220,22624,11980,1435.1,-182.79
5222,22845,12463,1631.6,-180.64
5224,22842,12470,2422.2,-206.15
5225,22626,11968,1973.5,-207.3
5234,20195,10116,3602.4,-237.99
5235,20187,10112,3232.1,-182.81
5258,22602,11989,1947.9,-196.29
5277,22622,11975,3155.9,-232.63
5278,22605,11986,1751.2,-193.36
5283,22604,11997,2050.7,-179.71
5309,22609,11995,1399.4,-191.74
5322,22598,11989,2950.7,-199.65
5337,22600,11989,1486.1,-167.03
5344,22597,11987,1421.5,-207.82
5353,22605,12002,1728.1,-200.65
5369,22587,12000,1148.2,-174.92
5428,22613,11969,1766.8,-176.98
5452,21382,9698.2,3779.6,-185.62
5453,21348,9699,3154.6,-175.27
5454,21402,9728.9,1743.5,-179.15
5455,21383,9719,2661.2,-201.6
5457,21397,9680,2241.3,-221.36
5458,21417,9715.8,2256.1,-187.43
5459,21370,9688.6,3881.8,-230.44
5463,21386,9715.2,2989.8,-199.31
5464,21373,9659.7,2585.3,-199.78
5513,22807,9617.2,3082.5,-198.94
5514,22807,9615.3,1276.4,-181.41
5515,22828,9620.7,1230.8,-179.63
5516,22820,9614.7,2770.2,-168.21
5517,22808,9609.9,3763,-178.96
5518,22804,9618.8,3356.6,-220.91
5519,22798,9609,3387.8,-206.24
5520,22826,9612.8,1082.4,-216.35
5543,18934,12618,1526.7,-180.17
5544,18933,12622,2989.6,-199.65
5545,18938,12625,3002.7,-195.54
5546,18936,12634,3254.1,-177.25
5547,18951,12629,1088.3,-192.74
5593,19445,9526.6,1479.5,-174.41
5594,19457,9528.5,1388.6,-165.59
5619,17935,8720.1,1761.4,-179.09
5673,21580,8931.7,2700.6,-186.07
5674,21577,8933.5,2955.6,-172.39
5675,20031,10410,2377.9,-190.5
5675,21578,8926.1,1899.9,-185.61
5676,20107,10454,3804,-189.82
5676,21594,8932.3,1520.6,-172.86
5677,21567,8935.1,3480.4,-184.21
5678,21583,8947.9,1962.9,-175.06
5679,21587,8941.2,2327.9,-218.05
5680,21579,8928.6,1433.1,-166.98
5681,21579,8933.1,2666.2,-195.53
5682,21582,8940,2905.8,-204.23
5683,21578,8932.2,3476.6,-207.53
5684,21587,8937.1,3228.9,-191.91
5685,21590,8935.6,3408.8,-199.93
5686,21575,8945,3406.8,-223.88
5687,21575,8932.9,3708,-177.44
5688,21586,8935.3,3697.2,-193.34
5689,21586,8941.5,3615.5,-178.67
5690,21578,8941.5,2461.4,-252.01
5691,21577,8937.6,3728.8,-195.41
5692,21577,8930.6,3077.3,-206.74
5693,21577,8940.7,4093.4,-182.7
5694,21578,8940.3,4243.1,-197.07
5695,21578,8933.9,4017,-192.87
5696,21580,8931.1,3918.2,-183.84
5697,21580,8935,2558.5,-196.89
5821,21323,15389,2787.8,-200.52
5857,24171,11991,2744,-233.5
5858,24174,12006,1711.4,-191.33
5859,24174,12007,2595.3,-238.52
5860,24160,12002,1231.7,-207.32
6217,18014,12041,1099,-213.14
6218,18292,12118,2011.5,-183.53
6219,18303,12101,4277.7,-210.63
6220,18291,12116,3817.8,-196.87
6221,18166,11969,1304.9,-193.88
6445,23671,10326,1437.4,-185.91
6575,23444,10724,3552.3,-181.4
6576,23447,10709,3919.1,-180.51
6577,23448,10712,2720.4,-214.35
6595,22895,10835,3261.4,-185.66
6596,22899,10838,3055.6,-183.87
6602,22895,10814,1756.7,-173.61
6604,19634,12021,1185.8,-194.87
6605,23433,10906,2066.9,-174.47
6606,23421,10902,1796.7,-166.56
6607,19639,12014,1573.1,-158.71
6607,23436,10901,1475.3,-171.65
6609,19648,11994,1179.5,-157.02
6609,22018,10823,9918.8,-248.09
6610,21950,10879,6504.8,-218.41
6621,19925,9244.6,2972.4,-222.32
6622,19919,9246.7,3443,-195.6
6623,19925,9246,3858.3,-193
6624,19555,14201,1152.9,-187.52
6625,19921,9236.8,1431.9,-188.57
6627,19929,9234.7,2391.6,-220.02
6628,19914,9256.7,2458.9,-192.67
6629,19925,9246.4,3143,-187.39
6630,19939,9248.3,3845.7,-188.46
6630,22327,9493.9,1481.7,-222.72
6631,19913,9225.9,1640.9,-178.95
6631,22326,9492,1392.2,-192.43
6635,19931,9257,1957.4,-178.14
6635,22337,9483.3,3104.9,-217.06
6636,19918,9230.5,1103.6,-198.79
6636,22344,9489.2,3592.1,-211.1
6637,19944,9242.7,1180.7,-161.13
6637,22317,9492.5,1321.4,-218.38
6638,22331,9470.6,2486.3,-165.76
6639,22324,9488.2,1227.3,-209.65
6640,22320,9471.7,2832.8,-204.97
6641,21831,10814,8337.7,-182.76
6641,22311,9477,1161.3,-223.66
6642,21947,10847,5572.8,-206.93
6646,19592,14089,1007.3,-194.5
6647,22829,12917,1173.5,-192.3
6648,19606,14160,3160.2,-237.75
6649,19593,14142,2462.5,-221.25
6650,19605,14139,1452.4,-181.72
6651,19595,14148,1308.4,-188.67
6652,19611,14172,2812.7,-250.9
6654,19555,14161,1039.9,-167.59
6655,19581,14130,1831,-175.83
6656,19594,14152,1719.2,-219.62
6657,19624,14097,1053.7,-172.27
6658,19599,14159,2602.3,-202.54
6660,19425,14154,4094.6,-417.93
6660,19593,14182,2328.2,-291.19
6674,20524,14640,1611,-190.52
6675,20020,10235,2895.7,-190.75
6675,20439,14628,5421.8,-260.5
6676,20020,10244,1455.6,-177.61
6678,20522,14650,2273.8,-218.71
6679,20541,14649,2439.2,-199.56
6680,20536,14643,2414.6,-206.62
6681,19617,14178,1077.3,-288.42
6681,20540,14632,1180.3,-246.54
6682,19605,14178,1308.4,-204.41
6685,18505,11530,3294,-225.67
6685,19585,14100,1249.7,-173.44
6687,24245,13053,1329.5,-174.07
6688,24247,13038,2377.6,-192.34
6689,24251,13028,1679.9,-179.17
6690,19596,14082,1290,-184
6690,24237,13045,3057.2,-232.84
6694,19613,14167,2045.4,-244.27
6695,19608,14057,1016.2,-165.18
6698,19613,14159,2779.1,-247.37
6700,19604,14186,1883,-179.1
6701,19636,14182,1321.6,-193.24
6702,19564,14209,1021.5,-178.82
6703,22498,8461.7,1554.4,-180.14
6704,22516,8458.3,2199.2,-199.85
6705,19603,14183,2670.1,-218.85
6710,20349,9686.4,2566.4,-200.59
6711,19589,14181,1442.5,-204.52
6711,20343,9717.7,2052,-196.22
6712,19599,14191,1377.6,-204.5
6716,22728,13411,2716.2,-194.84
6717,22736,13382,3035.3,-218.33
6718,22761,13403,2958.4,-276.64
6719,20493,9746.3,1667.5,-227.52
6731,17744,9974.7,2345.4,-216.65
6735,22719,13397,2469.4,-196.86
6736,22697,13422,2806,-201.03
6737,22702,13395,3335.6,-218.51
6738,22711,13400,3092.8,-261.85
6739,22728,13402,3799,-239.35
6740,22699,13380,1103.6,-211.06
6741,24639,10727,1414.8,-187.57
6744,20513,12507,2013.1,-192.63
6747,17984,11614,7134.7,-235.33
6748,22718,13409,1814.1,-202.79
6749,22722,13401,2728.8,-190.37
6756,24554,10698,1090.8,-177.89
6758,21881,13179,1602.1,-182.72
6758,23242,9094.3,2022.6,-198.07
6758,24668,10690,1805.5,-196.25
6759,21886,13183,1881.3,-178.53
6759,23241,9085,3685.7,-217.03
6759,24665,10694,2036.5,-197.06
6760,23231,9085.3,3117.7,-164.41
6760,24682,10706,1497.2,-189.03
6761,21888,13166,1447.4,-185.1
6761,23231,9086.7,2257.9,-213.14
6762,21888,13173,2758.8,-194.41
6763,21886,13182,1127,-207.58
6763,24630,10732,3925,-215.54
