,x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood,sigma [nm],dx [nm],dy [nm]
34,27353.841219840488,665.258515454382,0,102,4.7425,3274.0,129.1,129.15,140.98,0.15878015951238922,-0.03851545438192261
35,33453.841219840484,2463.838515454382,0,102,7.2268,1755.8,122.91,90.965,132.46,0.15878015951238922,-0.03851545438192261
36,33408.841219840484,36003.038515454384,0,102,6.8594,2085.1,122.83,108.6,142.46,0.15878015951238922,-0.03851545438192261
37,37513.841219840484,5161.838515454382,0,102,6.5043,2214.2,116.75,87.023,144.41,0.15878015951238922,-0.03851545438192261
38,44727.841219840484,11699.038515454382,0,102,4.2013,3439.1,124.33,162.74,132.89,0.15878015951238922,-0.03851545438192261
39,48525.841219840484,14976.038515454382,0,102,6.1048,2073.8,117.22,106.09,131.6,0.15878015951238922,-0.03851545438192261
40,5473.66205393661,23603.057575613777,0,103,3.8972,5144.9,155.85,281.31,153.29,0.23794606338924496,-0.057575613775043166
41,11811.76205393661,21711.057575613777,0,103,3.0084,7347.0,163.31,416.52,153.66,0.23794606338924496,-0.057575613775043166
42,18544.76205393661,31062.057575613777,0,103,5.2633,3559.5,133.4,196.14,158.86,0.23794606338924496,-0.057575613775043166
43,20819.76205393661,42424.05757561378,0,103,6.6039,2974.4,169.6,308.62,161.04,0.23794606338924496,-0.057575613775043166
44,23925.76205393661,7847.757575613775,0,103,4.9068,3679.8,144.8,160.44,151.61,0.23794606338924496,-0.057575613775043166
45,24808.76205393661,32290.057575613777,0,103,6.1054,2606.9,125.87,81.3,149.59,0.23794606338924496,-0.057575613775043166
46,27344.76205393661,671.567575613775,0,103,4.8845,3096.9,126.76,94.12299999999999,139.93,0.23794606338924496,-0.057575613775043166
47,33409.76205393661,35995.05757561378,0,103,5.7358,2622.4,128.66,99.833,142.4,0.23794606338924496,-0.057575613775043166
48,33406.76205393661,35995.05757561378,0,103,5.7909,2635.1,128.92,97.98,143.37,0.23794606338924496,-0.057575613775043166
49,33901.76205393661,27173.057575613777,0,103,5.8065,2816.6,133.06,108.93,148.97,0.23794606338924496,-0.057575613775043166
50,44736.76205393661,11683.057575613775,0,103,5.6711,2338.1,121.28,114.91,133.06,0.23794606338924496,-0.057575613775043166
51,48524.76205393661,14980.057575613775,0,103,5.4967,2511.0,117.55,84.814,136.91,0.23794606338924496,-0.057575613775043166
52,5501.783037252253,23588.076504364602,0,104,5.3018,3591.1,128.54,149.29,163.55,0.31696274774731137,-0.07650436460426135
